35, 65
0, 65
0, 5
15, 5
15, 0
25, 0
25, 5
35, 5
35, 65
14, 8
14, 10
29, 10
29, 17
18, 17
18, 15
8, 15
8, 20
23, 20
23, 18
28, 18
28, 31
23, 31
23, 26
18, 26
18, 21
8, 21
3, 26
3, 51
5, 56
5, 61
8, 61
8, 56
13, 56
13, 51
21, 51
21, 54
16, 54
16, 61
21, 61
21, 63
24, 63
24, 58
27, 58
27, 53
32, 53
32, 8
14, 8
12.5, 16
12.5, 11
4.5, 11
4.5, 19
26.5, 19
26.5, 24
30.5, 24
30.5, 29
26.5, 29
26.5, 34
33.5, 34
35, 30
35, 36
22, 36
22, 38
19, 38
19, 30
11, 30
11, 27
26, 27
21, 22
1, 22
1, 30
6, 30
6, 33
1, 33
1, 35
6, 35
6, 37
1, 37
1, 62
0, 62
0, 5
15, 5
15, 0
25, 0
25, 5
35, 5
35, 20
32.5, 16
12.5, 16
